Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-06-10,Short,Closed End of Day,8097.2,8125.5,14.75,2015-06-10 15:15:00
2015-06-11,Short,Closed End of Day,8125.0,7964.85,160.15,2015-06-11 15:15:00
2015-06-12,Short,Closed End of Day,7979.1,7991.45,160.15,2015-06-12 15:15:00
2015-06-15,Short,Closed End of Day,7981.8,8006.15,160.15,2015-06-15 15:15:00
2015-06-16,Short,Closed End of Day,7978.15,8057.2,160.15,2015-06-16 15:15:00
2015-06-17,Short,Closed End of Day,8063.65,8089.7,160.15,2015-06-17 15:15:00
2015-06-18,Short,Closed End of Day,8139.0,8178.35,160.15,2015-06-18 15:15:00
2015-06-19,Short,Closed End of Day,8224.65,8232.95,160.15,2015-06-19 15:15:00
2015-06-22,Short,Closed End of Day,8300.8,8352.3,160.15,2015-06-22 15:15:00
2015-06-23,Short,Closed End of Day,8389.6,8381.1,8.5,2015-06-23 15:15:00
2015-06-24,Short,Closed End of Day,8408.65,8339.85,68.8,2015-06-24 15:15:00
2015-06-25,Short,Closed End of Day,8367.9,8415.05,68.8,2015-06-25 15:15:00
2015-06-26,Short,Closed End of Day,8372.0,8382.2,68.8,2015-06-26 15:15:00
2015-06-29,Short,Closed End of Day,8231.45,8326.4,68.8,2015-06-29 15:15:00
2015-06-30,Short,Closed End of Day,8327.05,8371.6,68.8,2015-06-30 15:15:00
2015-07-01,Short,Closed End of Day,8422.7,8462.5,68.8,2015-07-01 15:15:00
2015-07-02,Short,Closed End of Day,8455.3,8440.95,14.35,2015-07-02 15:15:00
2015-07-03,Short,Closed End of Day,8495.95,8486.35,9.6,2015-07-03 15:15:00
2015-07-06,Short,SL Hit,8420.95,8520.95,-100.0,2015-07-06 15:00:00
2015-07-07,Short,Closed End of Day,8550.65,8516.95,33.7,2015-07-07 15:15:00
2015-07-08,Short,Closed End of Day,8450.85,8354.65,96.2,2015-07-08 15:15:00
2015-07-09,Short,Closed End of Day,8350.85,8335.15,15.7,2015-07-09 15:15:00
2015-07-10,Short,Closed End of Day,8342.95,8357.05,15.7,2015-07-10 15:15:00
2015-07-13,Short,SL Hit,8366.1,8466.1,-100.0,2015-07-13 14:00:00
2015-07-14,Short,Closed End of Day,8455.85,8442.4,13.45,2015-07-14 15:15:00
2015-07-15,Short,Closed End of Day,8507.6,8526.0,13.45,2015-07-15 15:15:00
2015-07-16,Short,Closed End of Day,8572.7,8610.8,13.45,2015-07-16 15:15:00
2015-07-17,Short,Closed End of Day,8613.15,8613.85,13.45,2015-07-17 15:15:00
2015-07-20,Short,Closed End of Day,8581.3,8602.3,13.45,2015-07-20 15:15:00
2015-08-10,Short,Closed End of Day,8610.05,8502.9,107.15,2015-08-10 15:15:00
2015-08-11,Short,Closed End of Day,8524.3,8467.4,56.9,2015-08-11 15:15:00
2015-08-12,Short,Closed End of Day,8409.05,8353.95,55.1,2015-08-12 15:15:00
2015-08-13,Short,Closed End of Day,8390.45,8383.15,7.3,2015-08-13 15:15:00
2015-08-14,Short,SL Hit,8397.75,8497.75,-100.0,2015-08-14 12:30:00
2015-08-17,Short,Closed End of Day,8461.85,8471.85,7.3,2015-08-17 15:15:00
2015-08-18,Short,Closed End of Day,8513.6,8466.25,47.35,2015-08-18 15:15:00
